,Question,Answer,Answer Chunk Index,Chunk_Page_Span,TOP_1,TOP_2,TOP_3,TOP_4,TOP_5
483,What happens if a member of a House or Provincial Assembly becomes a candidate for a second seat?,"If a member of a House or Provincial Assembly becomes a candidate for a second seat, their first seat will become vacant as soon as they are elected to the second seat.",247,"(129, 130)","(129,)","(129, 128)","(129, 128, 36)","(129, 128, 36, 130)","(129, 128, 36, 130, 37)"
484,When must a general election be held if the National Assembly completes its term?,A general election to the National Assembly must be held within a period of sixty days immediately following the day on which the term of the Assembly is due to expire.,248,"(130, 132)","(25,)","(25, 130)","(25, 130, 28)","(25, 130, 28, 50)","(25, 130, 28, 50, 129)"
485,Who appoints the care-taker Prime Minister after the dissolution of the National Assembly?,The care-taker Prime Minister is appointed by the President in consultation with the Prime Minister and the Leader of the Opposition in the outgoing National Assembly.,248,"(130, 132)","(130,)","(130, 131)","(130, 131, 129)","(130, 131, 129, 51)","(130, 131, 129, 51, 95)"
486,Can members of the care-taker Cabinets contest in the next elections?,"No, members of the care-taker Cabinets, including the care-taker Prime Minister and the care-taker Chief Minister, and their immediate family members are not eligible to contest the immediately following elections to such Assemblies.",248,"(130, 132)","(130,)","(130, 57)","(130, 57, 131)","(130, 57, 131, 129)","(130, 57, 131, 129, 104)"
487,"What happens if the Prime Minister and the Leader of the Opposition cannot agree on a care-taker Prime Minister?
","If the Prime Minister and the Leader of the Opposition cannot agree on a care-taker Prime Minister within three days of the dissolution of the National Assembly, they must each forward two nominees to a Committee constituted by the Speaker of the National Assembly. This Committee will then finalize the name of the care-taker Prime Minister within three days.",249,"(132, 133)","(131,)","(131, 130)","(131, 130, 129)","(131, 130, 129, 123)","(131, 130, 129, 123, 22)"
488,"What is the role of the Election Commission if the Committee cannot decide on a care-taker Prime Minister or Chief Minister?
","If the Committee cannot decide on a care-taker Prime Minister or Chief Minister within the specified period, the names of the nominees will be referred to the Election Commission of Pakistan, which will make the final decision within two days.",249,"(132, 133)","(131,)","(131, 130)","(131, 130, 129)","(131, 130, 129, 35)","(131, 130, 129, 35, 132)"
489,"Who continues to hold office until the care-taker Prime Minister or Chief Minister is appointed?
",The incumbent Prime Minister and the incumbent Chief Minister continue to hold office until the care-taker Prime Minister and the care-taker Chief Minister are appointed.,249,"(132, 133)","(131,)","(131, 130)","(131, 130, 129)","(131, 130, 129, 148)","(131, 130, 129, 148, 52)"
490,How can someone challenge the results of an election to a House or a Provincial Assembly in Pakistan?,The results can only be challenged by presenting an election petition to a tribunal in a manner determined by an Act of Majlis-e-Shoora (Parliament).,250,"(133, 133)","(128,)","(128, 129)","(128, 129, 132)","(128, 129, 132, 37)","(128, 129, 132, 37, 127)"
491,How are elections conducted for positions other than the Prime Minister and the Chief Minister?,Elections for positions other than the Prime Minister and the Chief Minister are conducted by secret ballot.,251,"(133, 133)","(130,)","(130, 132)","(130, 132, 123)","(130, 132, 123, 50)","(130, 132, 123, 50, 69)"
492,Are new laws allowed to contradict the principles of Islam according to the Holy Quran and Sunnah?,"No, new laws shall not be enacted which are repugnant to the Injunctions of Islam as laid down in the Holy Quran and Sunnah.",252,"(134, 134)","(133,)","(133, 134)","(133, 134, 15)","(133, 134, 15, 111)","(133, 134, 15, 111, 32)"
493,Do the provisions regarding the Holy Quran and Sunnah affect the personal laws of non-Muslim citizens?,"No, the provisions do not affect the personal laws of non-Muslim citizens or their status as citizens.",252,"(134, 134)","(133,)","(133, 111)","(133, 111, 15)","(133, 111, 15, 134)","(133, 111, 15, 134, 32)"
494,How many members can the Islamic Council have?,The Islamic Council can have not less than eight and not more than twenty members.,253,"(134, 135)","(133,)","(133, 134)","(133, 134, 135)","(133, 134, 135, 118)","(133, 134, 135, 118, 32)"
495,Who appoints the members of the Islamic Council?,The members of the Islamic Council are appointed by the President.,253,"(134, 135)","(133,)","(133, 134)","(133, 134, 135)","(133, 134, 135, 118)","(133, 134, 135, 118, 156)"
496,What is the term duration for a member of the Islamic Council?,A member of the Islamic Council holds office for a period of three years.,253,"(134, 135)","(133,)","(133, 134)","(133, 134, 135)","(133, 134, 135, 118)","(133, 134, 135, 118, 156)"
497,Who can refer a question to the Islamic Council for advice on whether a proposed law aligns with Islamic principles?,"The President or the Governor of a Province can refer a question to the Islamic Council, or a House or a Provincial Assembly can do so if two-fifths of its total membership requires it.",254,"(135, 135)","(134,)","(134, 135)","(134, 135, 133)","(134, 135, 133, 114)","(134, 135, 133, 114, 111)"
498,Under what condition must a House or a Provincial Assembly refer a question to the Islamic Council?,A House or a Provincial Assembly must refer a question to the Islamic Council if two-fifths of its total membership requires it.,254,"(135, 135)","(135,)","(135, 134)","(135, 134, 156)","(135, 134, 156, 133)","(135, 134, 156, 133, 170)"
499,What is one of the main roles of the Islamic Council in Pakistan?,One of the main roles of the Islamic Council is to make recommendations to the Parliament and Provincial Assemblies on how to enable and encourage Muslims in Pakistan to live according to the principles and concepts of Islam as enunciated in the Holy Quran and Sunnah.,255,"(135, 136)","(134,)","(134, 133)","(134, 133, 135)","(134, 133, 135, 156)","(134, 133, 135, 156, 118)"
500,Who can refer a question to the Islamic Council for advice on whether a proposed law is in accordance with Islamic injunctions?,"A House, a Provincial Assembly, the President, or a Governor can refer a question to the Islamic Council for advice on whether a proposed law is in accordance with Islamic injunctions.",255,"(135, 136)","(134,)","(134, 135)","(134, 135, 133)","(134, 135, 133, 111)","(134, 135, 133, 111, 114)"
501,"What must the Islamic Council do within fifteen days of receiving a question from a House, Provincial Assembly, President, or Governor?","The Islamic Council must inform the House, Assembly, President, or Governor of the period within which it expects to be able to furnish its advice within fifteen days of receiving the question.",255,"(135, 136)","(135,)","(135, 134)","(135, 134, 56)","(135, 134, 56, 66)","(135, 134, 56, 66, 136)"
502,Who needs to approve the rules of procedure for the Islamic Council?,The rules of procedure for the Islamic Council need to be approved by the President.,256,"(136, 136)","(135,)","(135, 133)","(135, 133, 134)","(135, 133, 134, 116)","(135, 133, 134, 116, 114)"
503,Under what circumstances can the President declare a state of emergency in Pakistan?,"The President can declare a state of emergency if he is satisfied that the security of Pakistan, or any part thereof, is threatened by war, external aggression, or internal disturbance beyond the power of a Provincial Government to control.",257,"(137, 139)","(136,)","(136, 174)","(136, 174, 137)","(136, 174, 137, 138)","(136, 174, 137, 138, 139)"
504,What must happen if the President declares an emergency due to internal disturbances without a resolution from the Provincial Assembly?,"If the President declares an emergency due to internal disturbances without a resolution from the Provincial Assembly, the Proclamation of Emergency must be placed before both Houses of Majlis-e-Shoora (Parliament) for approval by each House within ten days.",257,"(137, 139)","(136,)","(136, 137)","(136, 137, 140)","(136, 137, 140, 139)","(136, 137, 140, 139, 138)"
505,What happens to the laws made by the Parliament during a state of emergency once the emergency is over?,"Laws made by the Parliament during a state of emergency, which it would not have been competent to make otherwise, will cease to have effect six months after the Proclamation of Emergency has ceased to be in force, except for actions taken or omitted before the expiration of that period.",257,"(137, 139)","(138,)","(138, 137)","(138, 137, 136)","(138, 137, 136, 174)","(138, 137, 136, 174, 139)"
506,Can the government make laws that would normally be restricted during an emergency period?,"Yes, the government can make laws or take executive actions that would normally be restricted during an emergency period, but such laws will cease to have effect once the emergency is revoked or has ceased to be in force.",258,"(139, 140)","(138,)","(138, 136)","(138, 136, 137)","(138, 136, 137, 174)","(138, 136, 137, 174, 139)"
507,What happens to the right to move any court for the enforcement of Fundamental Rights during an emergency?,"During an emergency, the President may declare that the right to move any court for the enforcement of certain Fundamental Rights shall remain suspended for the period the emergency is in force.",258,"(139, 140)","(139,)","(139, 105)","(139, 105, 99)","(139, 105, 99, 138)","(139, 105, 99, 138, 4)"
508,How are orders made during an emergency period approved?,"Orders made during an emergency period must be laid before both houses of Majlis-e-Shoora (Parliament) separately for approval, and the provisions of clauses (7) and (8) of Article 232 apply to such orders as they do to a Proclamation of Emergency.",258,"(139, 140)","(136,)","(136, 138)","(136, 138, 139)","(136, 138, 139, 174)","(136, 138, 139, 174, 137)"
509,Under what circumstances can the President take over the functions of a provincial government?,The President can take over the functions of a provincial government if he receives a report from the Governor of the Province and is satisfied that the provincial government cannot be carried on in accordance with the provisions of the Constitution.,259,"(140, 142)","(74,)","(74, 83)","(74, 83, 87)","(74, 83, 87, 67)","(74, 83, 87, 67, 71)"
510,What happens to the powers of the Provincial Assembly when the President issues a Proclamation?,"When the President issues a Proclamation, the powers of the Provincial Assembly become exercisable by, or under the authority of, the Majlis-e-Shoora (Parliament).",259,"(140, 142)","(140,)","(140, 136)","(140, 136, 139)","(140, 136, 139, 141)","(140, 136, 139, 141, 149)"
511,How long can a Proclamation issued by the President remain in force without approval from a joint sitting?,"A Proclamation issued by the President can remain in force for two months without approval from a joint sitting, and it can be extended for further periods not exceeding two months at a time, but it cannot remain in force for more than six months in total.",259,"(140, 142)","(138,)","(138, 140)","(138, 140, 141)","(138, 140, 141, 162)","(138, 140, 141, 162, 159)"
512,What can the President do if he believes the financial stability of Pakistan is at risk?,"The President can make a Proclamation declaring a financial emergency and issue directions to any Province to observe principles of financial propriety and other necessary directions in the interest of the economic life, financial stability, or credit of Pakistan.",260,"(142, 143)","(141,)","(141, 42)","(141, 42, 136)","(141, 42, 136, 84)","(141, 42, 136, 84, 156)"
513,Can the President reduce the salaries and allowances of provincial employees during a financial emergency?,"Yes, the President can issue directions requiring a reduction of the salary and allowances of all or any class of persons serving in connection with the affairs of a Province during a financial emergency.",260,"(142, 143)","(142,)","(142, 149)","(142, 149, 145)","(142, 149, 145, 150)","(142, 149, 145, 150, 141)"
514,Can a Proclamation issued under this part be changed or canceled?,"Yes, a Proclamation issued under this part can be varied or revoked by a subsequent Proclamation.",261,"(143, 143)","(142,)","(142, 141)","(142, 141, 139)","(142, 141, 139, 140)","(142, 141, 139, 140, 138)"
515,Can the Parliament create laws to protect government officials for actions taken to maintain order?,"Yes, the Parliament can create laws to indemnify government officials for actions taken to maintain or restore order in any area in Pakistan.",262,"(143, 143)","(39,)","(39, 4)","(39, 4, 142)","(39, 4, 142, 76)","(39, 4, 142, 76, 10)"
516,Does the Constitution restrict the Parliament from making indemnity laws for actions related to maintaining order?,"No, the Constitution does not prevent the Parliament from making indemnity laws for actions related to maintaining or restoring order.",262,"(143, 143)","(4,)","(4, 39)","(4, 39, 142)","(4, 39, 142, 76)","(4, 39, 142, 76, 38)"
517,Who has the authority to amend the Constitution in Pakistan?,The Constitution may be amended by Act of Majlis-e-Shoora (Parliament).,263,"(144, 144)","(166,)","(166, 164)","(166, 164, 160)","(166, 164, 160, 143)","(166, 164, 160, 143, 62)"
518,How can a bill to amend the Constitution be initiated?,A bill to amend the Constitution can originate in either House.,264,"(144, 144)","(143,)","(143, 42)","(143, 42, 61)","(143, 42, 61, 41)","(143, 42, 61, 41, 62)"
519,What is required for a bill to amend the Constitution to be presented to the President for assent?,The bill must be passed by the votes of not less than two-thirds of the total membership of both Houses.,264,"(144, 144)","(42,)","(42, 143)","(42, 143, 39)","(42, 143, 39, 61)","(42, 143, 39, 61, 41)"
520,Can a constitutional amendment that changes the boundaries of a Province be presented to the President without any additional approval?,"No, it must be passed by the Provincial Assembly of that Province by the votes of not less than two-thirds of its total membership before being presented to the President for assent.",264,"(144, 144)","(143,)","(143, 89)","(143, 89, 139)","(143, 89, 139, 37)","(143, 89, 139, 37, 62)"
521,Who determines the appointments and conditions of service for federal posts in Pakistan?,The appointments and conditions of service for federal posts in Pakistan are determined by or under an Act of Majlis-e-Shoora (Parliament).,265,"(145, 145)","(144,)","(144, 13)","(144, 13, 14)","(144, 13, 14, 88)","(144, 13, 14, 88, 119)"
522,How are the appointments and conditions of service for provincial posts in Pakistan decided?,The appointments and conditions of service for provincial posts in Pakistan are decided by or under an Act of the Provincial Assembly.,265,"(145, 145)","(144,)","(144, 14)","(144, 14, 88)","(144, 14, 88, 13)","(144, 14, 88, 13, 56)"
523,What happens to the existing rules and orders before new laws are made by the Legislature?,The existing rules and orders will continue in force as long as they are consistent with the provisions of the Constitution.,266,"(145, 145)","(164,)","(164, 160)","(164, 160, 144)","(164, 160, 144, 162)","(164, 160, 144, 162, 73)"
524,Who has the authority to amend the existing rules and orders?,"The Federal Government or the Provincial Government, as the case may be, has the authority to amend the existing rules and orders.",266,"(145, 145)","(164,)","(164, 163)","(164, 163, 160)","(164, 163, 160, 165)","(164, 163, 160, 165, 162)"
525,Who appoints the Chairman of the Public Service Commission for the Federation?,The Chairman of the Public Service Commission for the Federation is appointed by the President on the advice of the Prime Minister.,267,"(145, 146)","(144,)","(144, 145)","(144, 145, 77)","(144, 145, 77, 149)","(144, 145, 77, 149, 89)"
526,Who is responsible for appointing the Chairman of the Public Service Commission for a Province?,The Chairman of the Public Service Commission for a Province is appointed by the Governor on the advice of the Chief Minister.,267,"(145, 146)","(145,)","(145, 144)","(145, 144, 126)","(145, 144, 126, 80)","(145, 144, 126, 80, 77)"
527,Who has the ultimate control and command of the Armed Forces in Pakistan?,The Federal Government has control and command of the Armed Forces in Pakistan.,268,"(146, 146)","(145,)","(145, 18)","(145, 18, 146)","(145, 18, 146, 106)","(145, 18, 146, 106, 153)"
528,Who has the authority to appoint the top military officials in Pakistan?,"The President, on the advice of the Prime Minister, has the authority to appoint the Chairman of the Joint Chiefs of Staff Committee, the Chief of the Army Staff, the Chief of the Naval Staff, and the Chief of the Air Staff.",268,"(146, 146)","(6,)","(6, 119)","(6, 119, 165)","(6, 119, 165, 159)","(6, 119, 165, 159, 153)"
529,What must every member of the Armed Forces do according to the document?,Every member of the Armed Forces must make an oath in the form set out in the Third Schedule.,269,"(146, 146)","(106,)","(106, 145)","(106, 145, 155)","(106, 145, 155, 4)","(106, 145, 155, 4, 153)"
530,What role do the Armed Forces have in defending Pakistan?,"The Armed Forces, under the directions of the Federal Government, are responsible for defending Pakistan against external aggression or threat of war.",270,"(147, 147)","(146,)","(146, 145)","(146, 145, 18)","(146, 145, 18, 33)","(146, 145, 18, 33, 106)"
531,Can the validity of directions issued by the Federal Government to the Armed Forces be challenged in court?,"No, the validity of any direction issued by the Federal Government to the Armed Forces cannot be called in question in any court.",270,"(147, 147)","(146,)","(146, 153)","(146, 153, 145)","(146, 153, 145, 4)","(146, 153, 145, 4, 106)"
532,What areas were considered Tribal Areas in Pakistan before the commencement day?,"The areas considered Tribal Areas in Pakistan before the commencement day include the Tribal Areas of Balochistan and Khyber Pakhtunkhwa Province, and the former States of Amb, Chitral, Dir, and Swat.",271,"(147, 149)","(146,)","(146, 147)","(146, 147, 57)","(146, 147, 57, 169)","(146, 147, 57, 169, 24)"
533,What are the Provincially Administered Tribal Areas?,"The Provincially Administered Tribal Areas include the districts of Chitral, Dir, and Swat (which includes Kalam), the Tribal Area in Kohistan district, Malakand Protected Area, the Tribal Area adjoining Mansehra district, the former State of Amb, Zhob district, Loralai district (excluding Duki Tehsil), Dalbandin Tehsil of Chagai district, and Marri and Bugti Tribal territories of Sibi district.",271,"(147, 149)","(24,)","(24, 146)","(24, 146, 147)","(24, 146, 147, 57)","(24, 146, 147, 57, 169)"
534,"What happens to the areas mentioned in paragraph (b) and (c) on the commencement of the Constitution (Twenty-fifth Amendment) Act, 2018?","On the commencement of the Constitution (Twenty-fifth Amendment) Act, 2018, the areas mentioned in paragraph (b) sub-paragraph (i) shall stand merged in the Province of Khyber Pakhtunkhwa, sub-paragraph (ii) shall stand merged in the Province of Balochistan, and the areas mentioned in paragraph (c) shall stand merged in the Province of Khyber Pakhtunkhwa.",271,"(147, 149)","(147,)","(147, 29)","(147, 29, 146)","(147, 29, 146, 127)","(147, 29, 146, 127, 168)"
535,Can the President or a Governor be arrested or imprisoned while in office?,"No, no process for the arrest or imprisonment of the President or a Governor shall issue from any court during his term of office.",273,"(149, 149)","(148,)","(148, 20)","(148, 20, 150)","(148, 20, 150, 55)","(148, 20, 150, 55, 54)"
536,Are there any circumstances under which civil proceedings can be initiated against the President or a Governor during their term?,"Civil proceedings in which relief is claimed against the President or a Governor can be instituted during his term of office if, at least sixty days before the proceedings are instituted, notice in writing has been delivered to him, stating the nature of the proceedings, the cause of action, the name, description and place of residence of the party by whom the proceedings are to be instituted and the relief which the party claims.",273,"(149, 149)","(148,)","(148, 139)","(148, 139, 14)","(148, 139, 14, 149)","(148, 139, 14, 149, 20)"
537,Can criminal proceedings be started against the President or a Governor while they are in office?,"No, criminal proceedings whatsoever shall not be instituted or continued against the President or a Governor in any court during his term of office.",273,"(149, 149)","(148,)","(148, 112)","(148, 112, 20)","(148, 112, 20, 149)","(148, 112, 20, 149, 21)"
538,What happens to legal cases that were the responsibility of the Federation but have now become the responsibility of a Province under the Constitution?,"Such legal cases shall be brought by or against the Province concerned, and if any such legal proceedings were pending in any court immediately before the commencing day, the Province shall be deemed to have been substituted for the Federation from that day.",274,"(150, 150)","(149,)","(149, 91)","(149, 91, 171)","(149, 91, 171, 73)","(149, 91, 171, 73, 74)"
539,How are legal cases handled if they were the responsibility of a Province but have now become the responsibility of the Federation under the Constitution?,"Such legal cases shall be brought by or against the Federation, and if any such legal proceedings were pending in any court immediately before the commencing day, the Federation shall be deemed to have been substituted for the Province from that day.",274,"(150, 150)","(149,)","(149, 73)","(149, 73, 91)","(149, 73, 91, 74)","(149, 73, 91, 74, 75)"
540,"Who determines the salaries, allowances, and privileges of the Chairman, Deputy Chairman, Prime Minister, and members of the Senate until a law is made?","The President may determine the salaries, allowances, and privileges of the Chairman, Deputy Chairman, Prime Minister, and members of the Senate by Order until a law is made.",275,"(150, 151)","(150,)","(150, 149)","(150, 149, 55)","(150, 149, 55, 35)","(150, 149, 55, 35, 145)"
541,"Can the salary, allowances, and privileges of the President be changed to his disadvantage during his term?","No, the salary, allowances, and privileges of the President cannot be varied to his disadvantage during his term of office.",275,"(150, 151)","(150,)","(150, 149)","(150, 149, 55)","(150, 149, 55, 142)","(150, 149, 55, 142, 141)"
542,What happens to the salary and privileges of the Speaker when he is acting as President?,"When the Speaker is acting as President, he is entitled to the same salary, allowances, and privileges as the President but does not exercise any functions of the office of Speaker or a member of Parliament, nor is he entitled to salary, allowances, or privileges as Speaker or such a member.",275,"(150, 151)","(150,)","(150, 149)","(150, 149, 26)","(150, 149, 26, 23)","(150, 149, 26, 23, 21)"
543,What is the national language of Pakistan?,The national language of Pakistan is Urdu.,276,"(151, 152)","(150,)","(150, 151)","(150, 151, 14)","(150, 151, 14, 152)","(150, 151, 14, 152, 15)"
544,Can English be used for official purposes in Pakistan?,"Yes, the English language may be used for official purposes until arrangements are made for its replacement by Urdu.",276,"(151, 152)","(150,)","(150, 151)","(150, 151, 14)","(150, 151, 14, 152)","(150, 151, 14, 152, 15)"
545,Can the President temporarily change the application of laws at major ports or aerodromes?,"Yes, the President can direct that a specified law shall not apply or shall apply with exceptions or modifications to a major port or aerodrome for a period not exceeding three months.",277,"(152, 152)","(151,)","(151, 106)","(151, 106, 145)","(151, 106, 145, 104)","(151, 106, 145, 104, 121)"
546,Does a direction given by the President affect the operation of the law before the specified date?,"No, the giving of a direction does not affect the operation of the law prior to the specified date.",277,"(152, 152)","(160,)","(160, 158)","(160, 158, 151)","(160, 158, 151, 163)","(160, 158, 151, 163, 161)"
547,Can the government set limits on how much property a person can own?,"Yes, the government can prescribe the maximum limits as to property or any class thereof which may be owned, held, possessed, or controlled by any person.",278,"(152, 152)","(151,)","(151, 11)","(151, 11, 90)","(151, 11, 90, 170)","(151, 11, 90, 170, 12)"
548,Is it possible for the government to take over certain businesses or industries?,"Yes, the government can declare that any trade, business, industry, or service specified in such law shall be carried on or owned, to the exclusion, complete or partial, of other persons, by the Federal Government or a Provincial Government, or by a corporation controlled by any such Government.",278,"(152, 152)","(10,)","(10, 86)","(10, 86, 17)","(10, 86, 17, 34)","(10, 86, 17, 34, 18)"
549,Does missing a deadline specified by the Constitution make an action invalid?,"No, missing a deadline specified by the Constitution does not make an action invalid.",279,"(152, 152)","(151,)","(151, 62)","(151, 62, 35)","(151, 62, 35, 43)","(151, 62, 35, 43, 22)"
550,Is an act ineffective if it is not completed within the required time period set by the Constitution?,"No, an act is not ineffective just because it was not completed within the required time period set by the Constitution.",279,"(152, 152)","(151,)","(151, 137)","(151, 137, 166)","(151, 137, 166, 112)","(151, 137, 166, 112, 62)"
551,In what language should a person ideally take an oath under the Constitution?,An oath should preferably be made in Urdu or a language that is understood by the person.,280,"(153, 153)","(152,)","(152, 155)","(152, 155, 20)","(152, 155, 20, 173)","(152, 155, 20, 173, 37)"
552,What happens if it is not possible for a person to take an oath before the specified person?,"If it is impracticable for the oath to be made before the specified person, it may be made before another person nominated by the specified person.",280,"(153, 153)","(152,)","(152, 168)","(152, 168, 20)","(152, 168, 20, 55)","(152, 168, 20, 55, 103)"
553,"Are groups allowed to operate like military forces?
","No, any private organisation capable of functioning as a military organisation shall be illegal.",281,"(153, 153)","(152,)","(152, 145)","(152, 145, 18)","(152, 145, 18, 33)","(152, 145, 18, 33, 4)"
554,How will the relationship between Pakistan and Jammu and Kashmir be determined if the people of Jammu and Kashmir choose to join Pakistan?,The relationship will be determined in accordance with the wishes of the people of Jammu and Kashmir.,282,"(153, 153)","(152,)","(152, 33)","(152, 33, 77)","(152, 33, 77, 1)","(152, 33, 77, 1, 144)"
555,What condition is specified for Jammu and Kashmir to decide their relationship with Pakistan?,The condition specified is that the people of Jammu and Kashmir must decide to accede to Pakistan.,282,"(153, 153)","(152,)","(152, 33)","(152, 33, 144)","(152, 33, 144, 1)","(152, 33, 144, 1, 14)"
556,"Who has the authority to make provisions for areas in Pakistan that are not part of a Province?
","The President has the authority to make provisions for peace and good government of any part of Pakistan not forming part of a Province, subject to the Constitution and until the Parliament provides otherwise by law.",283,"(153, 153)","(76,)","(76, 1)","(76, 1, 14)","(76, 1, 14, 169)","(76, 1, 14, 169, 24)"
557,Can a Pakistani citizen accept an award from a foreign country without any conditions?,"No, a Pakistani citizen cannot accept any title, honour, or decoration from a foreign State without the approval of the Federal Government.",284,"(153, 154)","(152,)","(152, 32)","(152, 32, 33)","(152, 32, 33, 84)","(152, 32, 33, 84, 34)"
558,Who has the authority to award decorations for gallantry or meritorious service in Pakistan?,"The President has the authority to award decorations in recognition of gallantry, meritorious service in the Armed Forces, academic distinction, or distinction in the field of sports or nursing, as provided by Federal law.",284,"(153, 154)","(152,)","(152, 153)","(152, 153, 106)","(152, 153, 106, 145)","(152, 153, 106, 145, 161)"
559,"What does the term ""agricultural income"" refer to?","""Agricultural income"" refers to agricultural income as defined for the purposes of the law relating to income-tax.",285,"(154, 158)","(153,)","(153, 85)","(153, 85, 154)","(153, 85, 154, 34)","(153, 85, 154, 34, 16)"
560,"Who is included in the definition of ""Chief Justice"" in relation to the Supreme Court or a High Court?","The term ""Chief Justice"" includes the Judge for the time being acting as Chief Justice of the Court.",285,"(154, 158)","(93,)","(93, 155)","(93, 155, 96)","(93, 155, 96, 101)","(93, 155, 96, 101, 110)"
561,"What does ""net proceeds"" mean in relation to any tax or duty?","""Net proceeds"" means the proceeds of any tax or duty, reduced by the cost of collection, as ascertained and certified by the Auditor-General.",285,"(154, 158)","(83,)","(83, 85)","(83, 85, 155)","(83, 85, 155, 84)","(83, 85, 155, 84, 154)"
562,Does a person acting in an office automatically become the successor to the previous officeholder?,"No, a person who acts in an office shall not be regarded as the successor to the person who held that office before him.",286,"(158, 158)","(157,)","(157, 70)","(157, 70, 20)","(157, 70, 20, 26)","(157, 70, 20, 26, 52)"
563,Is an acting officeholder considered the predecessor to the next person who holds the office?,"No, an acting officeholder shall not be regarded as the predecessor to the person who holds that office after him.",286,"(158, 158)","(157,)","(157, 20)","(157, 20, 37)","(157, 20, 37, 97)","(157, 20, 37, 97, 103)"
564,Which calendar is used to measure time periods in the Constitution?,The Gregorian calendar is used to measure time periods in the Constitution.,287,"(158, 158)","(157,)","(157, 5)","(157, 5, 104)","(157, 5, 104, 155)","(157, 5, 104, 155, 27)"
565,Does the Constitution consider words referring to men to also include women?,"Yes, words importing the masculine gender shall be taken to include females.",288,"(158, 158)","(13,)","(13, 157)","(13, 157, 15)","(13, 157, 15, 16)","(13, 157, 15, 16, 57)"
566,How does the Constitution handle singular and plural words?,"Words in the singular shall include the plural, and words in the plural shall include the singular.",288,"(158, 158)","(157,)","(157, 155)","(157, 155, 89)","(157, 155, 89, 154)","(157, 155, 89, 154, 168)"
567,What happens to penalties or punishments for offences committed under a law that has been repealed?,Penalties or punishments incurred for offences committed under a repealed law are not affected by the repeal and may still be imposed as if the law had not been repealed.,289,"(158, 159)","(8,)","(8, 158)","(8, 158, 38)","(8, 158, 38, 128)","(8, 158, 38, 128, 3)"
568,Does the repeal of a law affect any legal proceedings or investigations that were already in progress?,"No, the repeal of a law does not affect any legal proceedings or investigations that were already in progress, and they may be continued or enforced as if the law had not been repealed.",289,"(158, 159)","(158,)","(158, 164)","(158, 164, 112)","(158, 164, 112, 111)","(158, 164, 112, 111, 163)"
569,When did the Constitution of Pakistan come into effect?,"The Constitution of Pakistan came into effect on the fourteenth day of August, one thousand nine hundred and seventy-three, or on such earlier day as the President may appoint by notification in the official Gazette.",290,"(159, 160)","(158,)","(158, 1)","(158, 1, 169)","(158, 1, 169, 168)","(158, 1, 169, 168, 163)"
570,Can the President or Prime Minister assume office before the Constitution's commencing day?,"No, the person elected as President or Prime Minister shall not enter upon his office before the commencing day.",290,"(159, 160)","(158,)","(158, 52)","(158, 52, 20)","(158, 52, 20, 148)","(158, 52, 20, 148, 51)"
571,Is it possible to make rules or issue orders related to the Constitution before its commencement?,"Yes, the power to make rules or issue orders with respect to the enforcement of any provision of the Constitution, or the establishment of any court or office, or the appointment of any Judge or officer, may be exercised at any time between the enactment of the Constitution and its commencement.",290,"(159, 160)","(159,)","(159, 38)","(159, 38, 116)","(159, 38, 116, 164)","(159, 38, 116, 164, 162)"
572,What has been annulled according to the text?,"The Interim Constitution of the Islamic Republic of Pakistan, along with the Acts and President's Orders related to it, has been repealed.",291,"(160, 160)","(174,)","(174, 160)","(174, 160, 86)","(174, 160, 86, 132)","(174, 160, 86, 132, 161)"
573,What can the President do to address issues or make the Constitution work effectively before the specified time period ends?,"The President can issue an Order to adapt the provisions of the Constitution by modification, addition, or omission as necessary or expedient.",292,"(160, 160)","(28,)","(28, 133)","(28, 133, 159)","(28, 133, 159, 48)","(28, 133, 159, 48, 27)"
574,How long does an Order made by the President remain in force?,"An Order remains in force until a resolution disapproving it is passed by each House or, in case of disagreement between the two Houses, until such resolution is passed at a joint sitting.",292,"(160, 160)","(159,)","(159, 84)","(159, 84, 139)","(159, 84, 139, 48)","(159, 84, 139, 48, 142)"
575,"What should be done if there is a problem in implementing the Eighteenth Amendment Act, 2010?","If there is a problem in implementing the Eighteenth Amendment Act, 2010, the matter should be laid before both Houses in a joint sitting, which may direct by a resolution that the provisions of the Act have effect, subject to necessary adaptations.",293,"(160, 161)","(159,)","(159, 164)","(159, 164, 166)","(159, 164, 166, 127)","(159, 164, 166, 127, 126)"
576,"How long is the power to remove difficulties available after the commencement of the Eighteenth Amendment Act, 2010?","The power to remove difficulties is available for a period of one year from the commencement of the Eighteenth Amendment Act, 2010.",293,"(160, 161)","(159,)","(159, 160)","(159, 160, 124)","(159, 160, 124, 69)","(159, 160, 124, 69, 166)"
577,"What does the Constitution (Seventeenth Amendment) Act, 2003 declare about certain articles?","It declares that Article 152A was omitted and Articles 179 and 195 were substituted, and this change is considered to have always been in effect.",294,"(161, 161)","(160,)","(160, 125)","(160, 125, 123)","(160, 125, 123, 69)","(160, 125, 123, 69, 127)"
578,"What is the significance of the Constitution (Seventeenth Amendment) Act, 2003 in relation to Articles 152A, 179, and 195?","The significance is that Article 152A was omitted and Articles 179 and 195 were substituted by this amendment, and these changes are deemed to have always been in place, despite the repeal of the amendment.",294,"(161, 161)","(160,)","(160, 69)","(160, 69, 125)","(160, 69, 125, 138)","(160, 69, 125, 138, 159)"
